commodity,model,ds,yhat,yhat_lower,yhat_upper
Tomatoes,Prophet,2026-08-01,49.05,49.05,67.39900661615215
Tomatoes,Prophet,2026-09-01,236.91498639707007,207.41989976813204,266.88700491410214
Tomatoes,Prophet,2026-10-01,367.47196435139,334.84925186828707,400.21218005590083
Tomatoes,Prophet,2026-11-01,105.78354762347534,74.65008334508603,137.31162011289135
Tomatoes,Prophet,2026-12-01,49.05,49.05,49.05
Tomatoes,Prophet,2027-01-01,106.4460887037591,76.75483511065994,138.1035675863192
Tomatoes,Prophet,2027-02-01,228.96644085330516,198.4086582008624,261.06555780402533
Tomatoes,Prophet,2027-03-01,57.34673489764523,49.05,89.24437818916306
Tomatoes,Prophet,2027-04-01,70.916136359322,49.05,99.29323070881503
Tomatoes,Prophet,2027-05-01,54.99814078368325,49.05,85.41636187464127
Tomatoes,Prophet,2027-06-01,73.39908439467689,49.05,106.03955717318134
Tomatoes,Prophet,2027-07-01,270.9937783549738,241.06084445364445,300.10085199970547
Tomatoes,XGBoost,2026-08-01,181.10260009765625,,
Tomatoes,XGBoost,2026-09-01,106.48748016357422,,
Tomatoes,XGBoost,2026-10-01,99.52153778076172,,
Tomatoes,XGBoost,2026-11-01,82.2365951538086,,
Tomatoes,XGBoost,2026-12-01,97.87911224365234,,
Tomatoes,XGBoost,2027-01-01,92.64391326904297,,
Tomatoes,XGBoost,2027-02-01,70.64911651611328,,
Tomatoes,XGBoost,2027-03-01,111.64358520507812,,
Tomatoes,XGBoost,2027-04-01,259.95135498046875,,
Tomatoes,XGBoost,2027-05-01,171.84959411621094,,
Tomatoes,XGBoost,2027-06-01,94.80113220214844,,
Tomatoes,XGBoost,2027-07-01,79.90210723876953,,
Onions,Prophet,2026-08-01,50.42024839013369,45.51,60.045879010886964
Onions,Prophet,2026-09-01,63.42389492894842,53.10261129039999,73.54165039000057
Onions,Prophet,2026-10-01,119.7773715935096,108.59764891524323,130.6876307742782
Onions,Prophet,2026-11-01,199.81515607711478,187.25383373480446,212.85556062787617
Onions,Prophet,2026-12-01,116.81648465622665,104.885277467943,129.3963907700233
Onions,Prophet,2027-01-01,82.3325280910675,69.79125715254825,94.33396387336418
Onions,Prophet,2027-02-01,106.24550862479083,91.90143280782088,120.06935702360055
Onions,Prophet,2027-03-01,78.33663973586589,64.66275026038369,91.69189344219885
Onions,Prophet,2027-04-01,83.20380509307633,68.77136916020719,97.73659115080406
Onions,Prophet,2027-05-01,95.21224387207552,78.7856445794262,112.29394794293549
Onions,Prophet,2027-06-01,109.73969483010917,88.93244577666668,131.50319780534153
Onions,Prophet,2027-07-01,128.78304718754697,103.27798542671741,154.85811782553967
Onions,XGBoost,2026-08-01,100.98809051513672,,
Onions,XGBoost,2026-09-01,86.13484191894531,,
Onions,XGBoost,2026-10-01,104.40143585205078,,
Onions,XGBoost,2026-11-01,111.47947692871094,,
Onions,XGBoost,2026-12-01,118.5728988647461,,
Onions,XGBoost,2027-01-01,107.20762634277344,,
Onions,XGBoost,2027-02-01,93.83185577392578,,
Onions,XGBoost,2027-03-01,93.57450866699219,,
Onions,XGBoost,2027-04-01,93.69743347167969,,
Onions,XGBoost,2027-05-01,95.32316589355469,,
Onions,XGBoost,2027-06-01,92.79121398925781,,
Onions,XGBoost,2027-07-01,98.29936218261719,,
Potatoes,Prophet,2026-08-01,33.258732952484685,31.12,39.005737108764635
Potatoes,Prophet,2026-09-01,35.85392356969778,31.12,41.437916633065434
Potatoes,Prophet,2026-10-01,36.67267530426951,31.12,42.49796616358152
Potatoes,Prophet,2026-11-01,33.56457529318478,31.12,39.31214908077799
Potatoes,Prophet,2026-12-01,31.12,31.12,31.12
Potatoes,Prophet,2027-01-01,31.12,31.12,31.12
Potatoes,Prophet,2027-02-01,31.12,31.12,31.12
Potatoes,Prophet,2027-03-01,31.12,31.12,31.12
Potatoes,Prophet,2027-04-01,31.12,31.12,31.12
Potatoes,Prophet,2027-05-01,31.12,31.12,31.12
Potatoes,Prophet,2027-06-01,31.12,31.12,31.12
